asin,Title,rate1,rate2,rate3,rate4,rate5,rating,totalreviews
B01CP4CGBE,"Samsung Galaxy GS7 Edge, Gold 32GB (Sprint)",7,0,2,2,10,3.4,25
B01CP4CGSC,"Samsung Galaxy S7, G930P Gold 32GB (Sprint)",9,3,3,12,27,3.9,56
B01CR1FQMG,"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)",5,0,1,0,4,3.8,1
B01CU22RL0,Samsung Galaxy S7 Edge Smartphone - GSM Unlocked - 32 GB - No Warranty - Black,12,6,8,10,26,3.3,63
B01CYYYRNK,"Samsung Galaxy S7 SM-G930A AT&T Unlocked Smartphone, (Black Onyx)",121,42,32,32,153,3.1,394
B01D0JV7AO,Samsung Galaxy S6 SM-G920V 32GB Sapphire Black Smartphone for Verizon (Renewed),5,0,0,1,4,3.5,1
B01D0JXCKW,Samsung Galaxy S6 SM-G920V 32GB Gold Smartphone for Verizon (Renewed),5,0,0,1,4,3.5,1
B01D1J9BGU,Samsung Galaxy S7 Edge G935FD 32GB Unlocked GSM 4G LTE,193,35,38,69,440,3.8,783
B01D4Z97UG,Samsung Galaxy S6 SM-G920A 32GB Unlocked GSM 4G LTE Octa-Core Smartphone w/ 16MP Camera - White (Renewed),6,0,1,1,2,2.9,11
B01D53A7KG,Samsung Galaxy S6 SM-G920A 32GB White Smartphone for AT&T (Renewed),26,9,9,18,73,3.6,139
B01DL9TVW4,"Samsung Galaxy S5 G900A Factory Unlocked Cellphone, Android 16GB, Gold",7,0,1,0,2,3.2,1
B01DUPOOMG,Samsung Galaxy S6 G920P 32GB Black Boost Mobile Smartphone,1,3,2,3,20,3.7,29
B01DZ2CS4U,Samsung Galaxy S7 32GB G930V Unlocked - Black,74,18,19,19,112,3.2,250
B01DZJFWNC,Moto G Plus (4th Gen.) Unlocked - Black - 64GB - U.S. Warranty,4,0,1,0,5,3.5,1
B01DZJFWWS,Moto G (4th Gen.) Unlocked - Black - 32GB,4,2,0,1,3,3.5,1
B01E7FK14S,Samsung Galaxy J3 Express Prime 2 SM-J327A 4G LTE 7.0 Nougat 5 Smartphone (AT&T) - Black,6,1,4,12,22,3.9,50
B01EIVMETG,Samsung Galaxy J1 Mini 8GB J106H/DS Dual Sim Unlocked Phone - Retail Packaging- Black,41,22,10,26,63,3.2,169
B01EWKHIAI,Microsoft Lumia 950 32GB Dual Sim NAM RM-1118 GSM Factory Unlocked - US Warranty (Black),7,3,5,13,35,3.9,67
B01F5FYXNO,"Samsung Galaxy J3, Verizon LTE Prepaid (Black)",16,4,11,12,47,3.6,91
B01FCFZS3G,Samsung Galaxy S7 Edge G935A 32GB AT&T - Black Onyx,51,12,9,18,115,3.5,211
B01FIW1B9S,Samsung Galaxy S7 G930T 32GB T-Mobile - Black,46,4,11,17,111,3.8,194
B01FJT7E3M,"Sony Xperia XA Ultra (F3213) 4G LTE Unlocked GSM Phone w/ 6” Borderless Display, 21.5MP+16MP Cameras, Octa-Core CPU - White",82,35,48,77,194,3.6,441
B01FJT7MZC,Sony Xperia X Performance F8131 32GB Unlocked GSM LTE Android Phone w/ 23MP Camera - Black,11,7,8,18,70,3.9,117
B01FJT7N4W,Sony Xperia X F5121 32GB GSM 23MP Camera Phone - Graphite Black,27,13,22,32,102,3.8,200
B01GP2XIJQ,Samsung Galaxy Amp 2 - Cricket,3,0,0,1,7,3.9,11
B01GXAT0CE,"Apple iPhone SE, 16GB, Rose Gold - For AT&T / T-Mobile (Renewed)",6,1,0,0,3,3.8,2
B01H93TCCM,Samsung Galaxy S7 Active SM-G891A 32GB Sandy Gold No-Contract AT&T,8,1,3,4,22,3.6,39
B01HFJR6NW,Motorola Droid MAXX XT1080M 16GB Black Verizon and GSM Unlocked (Certified Refurbished),3,1,2,4,7,3.3,17
B01HFK15BU,Samsung Galaxy S6 G920V 32GB Verizon 4G LTE Smartphone W/ 16MP Camera - White,12,3,1,2,22,3.4,45
B01HFLRS38,Motorola Droid MAXX XT1080M 16GB Red Verizon and GSM Unlocked (Renewed),4,0,2,2,7,3.4,15
B01HTZ4T8C,"Samsung Galaxy S7 G930V 32GB, Verizon, Black Onyx, Unlocked Smartphones (Renewed)",37,9,9,18,73,3.7,190
B01I0HP1Z8,Samsung Galaxy S6 G920T Unlocked GSM 4G LTE Smartphone w/ 16MP Camera - White Pearl,16,5,3,6,23,2.9,55
B01I8V0MJQ,Samsung Galaxy S7 32GB T-Mobile - Gold Platinum,46,4,11,17,111,3.8,194
B01INV912A,motorola G4 16GB Smartphone,0,0,1,0,0,3,1
B01J63O3KY,Samsung GS6 5.1 Certified Pre-Owned Carrier Locked Phone - 32GB - White (Verizon),1,0,0,0,1,2.9,2
B01J63ODA4,"Samsung Galaxy S6 (Verizon) Certified Pre-Owned Prepaid Carrier Locked, White",1,1,0,0,1,2.5,3
B01JAWWVXW,"Apple iPhone 6S Plus, 16GB, Silver - For AT&T / T-Mobile (Renewed)",32,4,5,17,125,4.1,195
B01K5R3GXK,Motorola DROID Turbo XT1254 32GB Verizon Black Ballistic Nylon (Renewed),26,5,2,13,29,3.2,77
B01K5RGPIS,Samsung Galaxy S6 G920A 64GB Unlocked GSM 4G LTE Octa-Core Android Smartphone with 16MP Camera - Black Sapphire,20,4,9,5,23,2.9,61
B01L9D7J00,Samsung Convoy 4 B690 Rugged Water-Resistant Verizon Flip Phone w/ 5MP Camera - Blue,33,12,5,12,44,3.3,115
B01LEL8ABY,"Moto Z GSM Unlocked Smartphone, 5.5 Quad HD screen, 64GB storage, 5.2mm thin - Black",92,38,17,33,122,3,305
B01LXF0WML,"Sony Xperia XZ F8332 64GB Forest Blue, 5.2, Dual Sim, GSM Unlocked International Model, No Warranty",30,23,12,31,154,3.9,255
B01LY3OB8D,Google Pixel XL Phone 32GB - 5.5 inch display ( Factory Unlocked US Version ) (Very Silver),122,20,17,35,228,3.9,455
B01LYHIUQ7,"Apple iPhone 6S, 32GB, Silver - For AT&T / T-Mobile (Renewed)",6,1,4,2,29,4.1,46
B01LZXT34U,Samsung Galaxy S6 Edge Plus SM-G928T 32GB for T-Mobile (Renewed),2,0,0,1,9,4,12
B01M01YX15,"Google Pixel Phone - 5 inch display (Factory Unlocked US Version) (32GB, Quite Black)",74,28,29,30,136,3.5,302
B01M0PADR4,"Google Pixel XL G2PW210032GBBK Factory Unlocked Smartphone, 32GB, 5.5-Inch Display - U.S. Version (Quite Black)",131,29,34,46,175,3.4,429
B01M1CT4PT,Google Pixel XL Phone 32GB - 5.5 inch display (Factory Unlocked US Version) (Really Blue),3,1,1,2,12,3.8,20
B01M1HY1E3,Sony Xperia XZ F8331 32GB Unlocked GSM 4G LTE Phone w/ 23MP Camera - Mineral Black,34,20,29,46,118,3.6,249
B01M59QP6C,Samsung Galaxy Note 5 SM-N920V 32GB White Smartphone for Verizon (Renewed),83,29,21,28,116,3.2,289
B01M6X8SDM,Huawei Honor 8 Dual Camera Unlocked Phone 64GB - Sapphire Blue - GSM - US Warranty,3,0,0,2,5,4.2,1
B01MDMJGYT,Motorola MOTO Z PLAY (XT1635) Factory Unlocked Phone - 5.5 Screen - 32GB - Black (International Version - No Warranty),22,6,6,21,99,4.1,161
B01MSC0FK8,Samsung Galaxy S7 G930P 32GB Gold - Sprint (Renewed),40,8,9,13,59,3.5,140
B01MY2FEAS,Samsung Galaxy Note 5 N920T 32GB - White (T-Mobile),2,1,2,0,8,3.7,14
B01MZG55UE,"Samsung Galaxy S6, G920P White Pearl 32GB - Sprint (Renewed)",38,12,16,11,44,3.1,124
B01N064CH1,Motorola Droid MAXX 2 XT1565 16GB Blue - Verizon Unlocked (Renewed),7,4,0,4,12,3.3,27
B01N0O2MFZ,"Motorola XT1601 Moto G4 Play DUAL SIM Black+Lava Cover 2GB/16GB (International Version) , GSM ONLY",0,1,3,0,3,3.5,7
B01N1Q6V7K,Samsung J3 - Verizon Prepaid,8,4,1,4,24,3.6,41
B01N2HPFWK,"Google Pixel XL (128GB, 4GB RAM) 5.5 AMOLED HD Display, Global 4G LTE, US Factory Unlocked Model (GSM, Verizon, Sprint) - Very Silver",15,1,1,13,48,3.9,87
B01N37MPDI,"Samsung Galaxy Note 5, N920P 64GB - Gold Platinum (Sprint)",1,0,0,2,2,3.9,6
B01N4E0RF1,Samsung Galaxy S7 - Black - 32GB - Verizon (Renewed),98,28,37,80,289,3.8,600
B01N4IHGHI,"Apple iPhone 6S, 16GB, Gold - For AT&T (Renewed)",10,2,2,4,23,3.7,46
B01N4R20RS,"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",7,0,0,0,3,3.6,4
B01N5BOBIF,"Google Pixel, 5 32GB (Verizon Wireless) - Black",11,2,1,1,11,3,26
B01N5WQ2P4,Samsung Galaxy Note 4 N910P 32GB Frosted White - Sprint (Renewed),3,2,2,0,3,3.2,10
B01N9I0RWL,"Apple iPhone 6S, 128GB, Rose Gold - For AT&T / T-Mobile (Renewed)",0,0,1,0,2,4.6,3
B01N9R1JA7,Samsung TWSAS120VCP-3 Galaxy J1 Luna 4G LTE Total Wireless Prepaid Smartphone,1,0,1,1,4,3.7,8
B01N9TM7KG,"Samsung Galaxy S7 Edge, 5.5 32GB (Verizon Wireless) - Blue",34,12,10,17,99,3.7,181
B01N9XOXCK,Samsung Galaxy S7 Edge G935V 32GB Gold - Verizon (Renewed),124,36,46,62,300,3.8,606
B01N9YO1DS,"Apple iPhone 7, 128GB, Gold - For AT&T / T-Mobile (Renewed)",52,16,19,18,81,3.5,227
B01NB1KG8U,Samsung Galaxy S7 Edge G935A 32GB Gold - Unlocked GSM (Renewed),45,12,13,33,156,4,308
B01NC157KR,Samsung Galaxy Note 5 32GB N920P Gold Platinum - Sprint (Certified Refurbished),24,4,1,4,33,3.3,69
B01NC2MEJP,Samsung Galaxy Note 5 32GB GSM Unlocked - Black (Renewed) (D132),99,24,29,28,92,3.2,301
B06WP78R6X,Samsung Galaxy S7 Edge G935P 32GB Black - Sprint (Renewed),10,1,6,5,37,3.6,60
B06WRSK754,Samsung Galaxy S6 G920A 32GB Unlocked GSM (Black Sapphire) (Renewed),9,2,0,1,11,3.2,31
B06WWLYGWW,Samsung Galaxy S6 Edge G925P 32GB White Pearl - Sprint (Certified Refurbished),0,0,0,0,2,5,2
B06X9HVVC5,Sony Xperia XA1 G3123 32GB Unlocked GSM LTE Octa-Core Phone w/ 23MP Camera - White,73,41,25,20,72,3,232
B06X9X15Y8,"Apple iPhone 7 Plus, 128GB, Silver - Fully Unlocked (Renewed)",4,0,0,1,5,3.9,2
B06XGLHP8V,"Apple iPhone 7 Plus, GSM Unlocked, 128GB - Rose Gold (Renewed)",19,3,2,5,26,3.5,83
B06XGZHSBS,Sony Xperia L1 G3313 16GB Unlocked GSM Quad-Core Android Phone - Pink,17,10,13,22,49,3.7,117
B06XJCHZPW,Samsung Galaxy S6 Edge G925P 32GB Gold - Sprint (Renewed),1,0,0,0,0,1,1
B06XR1K6HR,"Apple iPhone 6S Plus, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)",11,2,2,2,30,3.8,56
B06XR8G1TX,"Apple iPhone 6S, 64GB, Space Gray - Fully Unlocked (Renewed)",78,28,30,44,141,3.5,394
B06XRG6S73,"Apple iPhone 6S, 16GB, Rose Gold - For AT&T / T-Mobile (Renewed)",67,23,25,45,179,3.7,379
